OrderID;ClientID;Date;ProductID;Quantity;EmployeeID
1;3;15/07/2024;10;2;3
2;5;15/07/2024;8;1;1
3;7;16/07/2024;15;3;4
4;2;16/07/2024;12;1;2
5;10;17/07/2024;6;2;5
6;4;17/07/2024;3;5;2
7;15;18/07/2024;9;1;3
8;6;18/07/2024;14;2;1
9;12;19/07/2024;5;4;4
10;8;19/07/2024;2;3;3
11;20;20/07/2024;11;1;5
12;18;20/07/2024;13;2;1
13;9;21/07/2024;7;3;4
14;11;21/07/2024;4;1;2
15;14;22/07/2024;1;2;5
16;13;22/07/2024;20;5;3
17;1;23/07/2024;17;1;4
18;17;23/07/2024;16;3;2
19;19;24/07/2024;19;4;5
20;16;24/07/2024;18;2;1
